trade_num,asset,direction,decision_time,entry_time,exit_time,entry_price,ob_high,ob_low,sl_price,tp_price,sl_dist_pct,leverage,tp_ret_pct,outcome,realized_r,loss_mechanism,starting_capital_gross,gross_pnl_usd,ending_capital_gross,starting_capital_net,fees_usd,net_pnl_usd,ending_capital_net,narrative
1,SOLUSD,SHORT,2026-08-01 00:00:00+00:00,2026-08-01 00:00:00+00:00,2026-08-01 16:00:00+00:00,73.0763,73.497,72.936,73.497,72.4916,0.5758,60.79,48.63,FILLED_TP,1.3894,N/A,10.0,4.8631,14.8631,10.0,0.4863,4.3768,14.3768,Price expanded in trade direction to hit fixed 0.8% TP (72.49) in candle [72.45 - 72.94].
2,ETHUSD,LONG,2026-08-01 16:00:00+00:00,2026-08-01 16:00:00+00:00,2026-08-01 17:00:00+00:00,1866.5375,1868.05,1862.0,1862.0,1881.4698,0.2431,143.98,115.18,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,14.8631,-5.2021,9.661,14.3768,1.6559,-6.6878,7.689,"Filled at 1866.54, moved inside zone for 1 bars, then reversed and breached distal SL at 1862.00."
3,ETHUSD,LONG,2026-08-01 17:00:00+00:00,2026-08-01 17:00:00+00:00,2026-08-01 18:00:00+00:00,1858.55,1862.4,1847.0,1847.0,1873.4184,0.6215,56.32,45.06,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,9.661,-3.3813,6.2796,7.689,0.3464,-3.0376,4.6514,"Filled at 1858.55, moved inside zone for 1 bars, then reversed and breached distal SL at 1847.00."
4,XRPUSD,LONG,2026-08-03 00:00:00+00:00,2026-08-03 00:00:00+00:00,2026-08-03 01:00:00+00:00,1.0825,1.0843,1.0769,1.0769,1.0911,0.5127,68.26,54.61,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,6.2796,-2.1979,4.0818,4.6514,0.254,-1.882,2.7694,"Filled at 1.08, moved inside zone for 1 bars, then reversed and breached distal SL at 1.08."
5,ETHUSD,LONG,2026-08-03 01:00:00+00:00,2026-08-03 02:00:00+00:00,2026-08-03 06:00:00+00:00,1863.675,1868.85,1848.15,1848.15,1878.5844,0.833,42.02,33.61,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,4.0818,-1.4286,2.6532,2.7694,0.0931,-1.0624,1.707,"Filled at 1863.67, moved inside zone for 4 bars, then reversed and breached distal SL at 1848.15."
6,SOLUSD,LONG,2026-08-03 01:00:00+00:00,2026-08-03 02:00:00+00:00,2026-08-03 03:00:00+00:00,72.9272,73.007,72.6878,72.6878,73.5106,0.3283,106.62,85.29,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,2.6532,-0.9286,1.7245,1.707,0.1456,-0.7431,0.964,"Filled at 72.93, moved inside zone for 1 bars, then reversed and breached distal SL at 72.69."
7,BTCUSD,LONG,2026-08-03 12:00:00+00:00,2026-08-03 12:00:00+00:00,2026-08-03 13:00:00+00:00,62599.375,62717.5,62245.0,62245.0,63100.17,0.5661,61.83,49.46,FILLED_TP,1.4132,N/A,1.7245,0.853,2.5775,0.964,0.0477,0.4291,1.3931,Price expanded in trade direction to hit fixed 0.8% TP (63100.17) in candle [62539.00 - 63375.00].
8,SOLUSD,SHORT,2026-08-03 14:00:00+00:00,2026-08-03 17:00:00+00:00,2026-08-04 00:00:00+00:00,73.844,74.348,73.676,74.348,73.2532,0.6825,51.28,41.02,FILLED_TP,1.1721,N/A,2.5775,1.0574,3.6349,1.3931,0.0572,0.5144,1.9074,Price expanded in trade direction to hit fixed 0.8% TP (73.25) in candle [73.06 - 73.64].
9,ETHUSD,LONG,2026-08-04 13:00:00+00:00,2026-08-04 13:00:00+00:00,2026-08-04 13:00:00+00:00,1861.3875,1864.35,1852.5,1852.5,1876.2786,0.4775,73.3,58.64,FILLED_TP,1.6755,N/A,3.6349,2.1316,5.7666,1.9074,0.1119,1.0067,2.9141,Price expanded in trade direction to hit fixed 0.8% TP (1876.28) in candle [1859.05 - 1876.85].
10,SOLUSD,LONG,2026-08-05 00:00:00+00:00,2026-08-05 00:00:00+00:00,2026-08-05 02:00:00+00:00,73.5577,73.708,73.107,73.107,74.1462,0.6128,57.12,45.69,FILLED_TP,1.3055,N/A,5.7666,2.6349,8.4015,2.9141,0.1332,1.1984,4.1125,Price expanded in trade direction to hit fixed 0.8% TP (74.15) in candle [74.08 - 74.50].
11,SOLUSD,LONG,2026-08-05 22:00:00+00:00,2026-08-05 23:00:00+00:00,2026-08-06 09:00:00+00:00,73.9025,74.118,73.256,73.256,74.4937,0.8748,40.01,32.01,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,8.4015,-2.9405,5.461,4.1125,0.1316,-1.571,2.5415,"Filled at 73.90, moved inside zone for 10 bars, then reversed and breached distal SL at 73.26."
