trade_id,asset,direction,ob_formation_time,bos_time,entry_time,exit_time,ob_formation_time_ist,bos_time_ist,entry_time_ist,exit_time_ist,ob_high,ob_low,ob_width,ob_width_pct,entry_price,sl_price,tp_price,sl_distance_pct,theoretical_leverage,applied_leverage,planned_tp_market_pct,planned_sl_account_pct,planned_tp_account_pct,starting_capital,position_notional,gross_pnl,fees,net_pnl,ending_capital,outcome,exit_reason,is_ambiguous,holding_bars,holding_time_hours,bars_ob_to_entry,hours_ob_to_entry,bars_retest_to_entry,hours_retest_to_entry,realized_r,cumulative_realized_r,data_timeframe,trade_narrative
1,SOLUSD,LONG,2024-06-10 13:00:00+00:00,2024-06-10 23:00:00+00:00,2024-06-11 00:00:00+00:00,2024-06-11 01:00:00+00:00,2024-06-10 18:30:00 IST,2024-06-11 04:30:00 IST,2024-06-11 05:30:00 IST,2024-06-11 06:30:00 IST,159.289,157.948,1.412,0.8436,158.9537,157.948,159.9075,0.6327,55.32,55.32,0.6,35.0,33.19,10.000000,553.157470,-3.500000,0.442526,-3.942526,6.057474,FILLED_SL,SL_HIT,False,1,1.0,1,1.0,0,0.0,-1.0,-1.0,1h,Price breached distal stop loss at 157.9480.
2,SOLUSD,LONG,2024-06-12 01:00:00+00:00,2024-06-13 19:00:00+00:00,2024-06-13 20:00:00+00:00,2024-06-14 02:00:00+00:00,2024-06-12 06:30:00 IST,2024-06-14 00:30:00 IST,2024-06-14 01:30:00 IST,2024-06-14 07:30:00 IST,148.295,145.645,1.412,1.795,147.6325,145.645,148.5183,1.3462,26.0,26.0,0.6,35.0,15.6,6.057474,157.483276,0.944900,0.125987,0.818913,6.876387,FILLED_TP,TP_HIT,False,6,6.0,1,1.0,0,0.0,0.4457,-0.5543,1h,Price reached fixed +0.60% TP target at 148.5183.
3,SOLUSD,LONG,2024-06-18 19:00:00+00:00,2024-06-20 16:00:00+00:00,2024-06-21 00:00:00+00:00,2024-06-21 00:00:00+00:00,2024-06-19 00:30:00 IST,2024-06-20 21:30:00 IST,2024-06-21 05:30:00 IST,2024-06-21 05:30:00 IST,132.906,130.418,1.412,1.8808,132.284,130.418,133.0777,1.4106,24.81,24.81,0.6,35.0,14.89,6.876387,170.617682,1.023706,0.136494,0.887212,7.763599,FILLED_TP,TP_HIT,False,1,1.0,8,8.0,7,7.0,0.4254,-0.129,1h,Price reached fixed +0.60% TP target at 133.0777.
4,SOLUSD,SHORT,2024-06-20 18:00:00+00:00,2024-06-21 22:00:00+00:00,2024-06-21 23:00:00+00:00,2024-06-21 23:00:00+00:00,2024-06-20 23:30:00 IST,2024-06-22 03:30:00 IST,2024-06-22 04:30:00 IST,2024-06-22 04:30:00 IST,135.785,134.25,1.412,1.1401,134.6337,135.785,133.8259,0.8551,40.93,40.93,0.6,35.0,24.56,7.763599,317.771863,1.906631,0.254217,1.652414,9.416013,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.7017,0.5727,1h,Price reached fixed +0.60% TP target at 133.8259.
5,SOLUSD,LONG,2024-06-22 00:00:00+00:00,2024-06-22 08:00:00+00:00,2024-06-22 09:00:00+00:00,2024-06-22 17:00:00+00:00,2024-06-22 05:30:00 IST,2024-06-22 13:30:00 IST,2024-06-22 14:30:00 IST,2024-06-22 22:30:00 IST,134.335,133.208,1.412,0.8407,134.0532,133.208,134.8576,0.6305,55.51,55.51,0.6,35.0,33.31,9.416013,522.669608,3.136018,0.418136,2.717882,12.133895,FILLED_TP,TP_HIT,False,8,8.0,1,1.0,0,0.0,0.9516,1.5243,1h,Price reached fixed +0.60% TP target at 134.8576.
6,SOLUSD,LONG,2024-06-22 23:00:00+00:00,2024-06-23 10:00:00+00:00,2024-06-23 11:00:00+00:00,2024-06-23 14:00:00+00:00,2024-06-23 04:30:00 IST,2024-06-23 15:30:00 IST,2024-06-23 16:30:00 IST,2024-06-23 19:30:00 IST,134.265,133.11,1.412,0.8621,133.9762,133.11,134.7801,0.6466,54.13,54.13,0.6,35.0,32.48,12.133895,656.829779,-4.246863,0.525464,-4.772327,7.361568,FILLED_SL,SL_HIT,False,3,3.0,1,1.0,0,0.0,-1.0,0.5243,1h,Price breached distal stop loss at 133.1100.
7,SOLUSD,LONG,2024-07-02 08:00:00+00:00,2024-07-02 14:00:00+00:00,2024-07-02 15:00:00+00:00,2024-07-02 15:00:00+00:00,2024-07-02 13:30:00 IST,2024-07-02 19:30:00 IST,2024-07-02 20:30:00 IST,2024-07-02 20:30:00 IST,148.3682,146.918,1.412,0.9798,148.0057,146.918,148.8937,0.7349,47.63,47.63,0.6,35.0,28.58,7.361568,350.612573,2.103675,0.280490,1.823185,9.184753,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.8165,1.3408,1h,Price reached fixed +0.60% TP target at 148.8937.
8,SOLUSD,SHORT,2024-07-04 19:00:00+00:00,2024-07-05 15:00:00+00:00,2024-07-05 16:00:00+00:00,2024-07-05 16:00:00+00:00,2024-07-05 00:30:00 IST,2024-07-05 20:30:00 IST,2024-07-05 21:30:00 IST,2024-07-05 21:30:00 IST,135.9,133.925,1.412,1.4693,134.4188,135.9,133.6122,1.102,31.76,31.76,0.6,35.0,19.06,9.184753,291.720547,-3.214664,0.233376,-3.448040,5.736713,FILLED_SL,SL_HIT,False,1,1.0,1,1.0,0,0.0,-1.0,0.3408,1h,Price breached distal stop loss at 135.9000.
9,SOLUSD,SHORT,2024-07-05 18:00:00+00:00,2024-07-06 03:00:00+00:00,2024-07-06 04:00:00+00:00,2024-07-06 04:00:00+00:00,2024-07-05 23:30:00 IST,2024-07-06 08:30:00 IST,2024-07-06 09:30:00 IST,2024-07-06 09:30:00 IST,135.977,134.059,1.412,1.4256,134.5385,135.977,133.7313,1.0692,32.73,32.73,0.6,35.0,19.64,5.736713,187.788022,1.126728,0.150230,0.976498,6.713211,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.5612,0.9019,1h,Price reached fixed +0.60% TP target at 133.7313.
10,SOLUSD,LONG,2024-07-10 01:00:00+00:00,2024-07-11 03:00:00+00:00,2024-07-11 04:00:00+00:00,2024-07-11 05:00:00+00:00,2024-07-10 06:30:00 IST,2024-07-11 08:30:00 IST,2024-07-11 09:30:00 IST,2024-07-11 10:30:00 IST,140.646,138.596,1.412,1.4629,140.1335,138.596,140.9743,1.0972,31.9,31.9,0.6,35.0,19.14,6.713211,214.153498,1.284921,0.171323,1.113598,7.826809,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.5469,1.4488,1h,Price reached fixed +0.60% TP target at 140.9743.
11,SOLUSD,LONG,2024-07-11 03:00:00+00:00,2024-07-11 14:00:00+00:00,2024-07-11 15:00:00+00:00,2024-07-11 15:00:00+00:00,2024-07-11 08:30:00 IST,2024-07-11 19:30:00 IST,2024-07-11 20:30:00 IST,2024-07-11 20:30:00 IST,141.8,139.256,1.412,1.8022,141.164,139.256,142.011,1.3516,25.89,25.89,0.6,35.0,15.54,7.826809,202.674152,-2.739383,0.162139,-2.901522,4.925287,FILLED_SL,SL_HIT,False,1,1.0,1,1.0,0,0.0,-1.0,0.4488,1h,Price breached distal stop loss at 139.2560.
12,SOLUSD,LONG,2024-07-08 16:00:00+00:00,2024-07-11 15:00:00+00:00,2024-07-11 16:00:00+00:00,2024-07-11 16:00:00+00:00,2024-07-08 21:30:00 IST,2024-07-11 20:30:00 IST,2024-07-11 21:30:00 IST,2024-07-11 21:30:00 IST,138.6,135.245,1.412,2.4354,137.7612,135.245,138.5878,1.8265,19.16,19.16,0.6,35.0,11.5,4.925287,94.378448,0.566271,0.075503,0.490768,5.416054,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.3285,0.7773,1h,Price reached fixed +0.60% TP target at 138.5878.
13,SOLUSD,SHORT,2024-07-17 09:00:00+00:00,2024-07-19 03:00:00+00:00,2024-07-19 04:00:00+00:00,2024-07-19 04:00:00+00:00,2024-07-17 14:30:00 IST,2024-07-19 08:30:00 IST,2024-07-19 09:30:00 IST,2024-07-19 09:30:00 IST,163.603,161.626,1.412,1.2195,162.1202,163.603,161.1475,0.9146,38.27,38.27,0.6,35.0,22.96,5.416054,207.262340,1.243574,0.165810,1.077764,6.493819,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.656,1.4333,1h,Price reached fixed +0.60% TP target at 161.1475.
